zodiac_sign,element,modality,openness,conscientiousness,extraversion,agreeableness,neuroticism,basis,evidence
Aries,fire,cardinal,0.7,0.5,0.85,0.5,0.4,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Leo,fire,fixed,0.7,0.5,0.8,0.5,0.35,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Sagittarius,fire,mutable,0.75,0.4,0.8,0.55,0.45,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Taurus,earth,fixed,0.4,0.85,0.4,0.55,0.3,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Virgo,earth,mutable,0.45,0.75,0.4,0.6,0.4,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Capricorn,earth,cardinal,0.4,0.85,0.45,0.55,0.35,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Gemini,air,mutable,0.8,0.4,0.7,0.65,0.5,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Libra,air,cardinal,0.75,0.5,0.75,0.6,0.45,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Aquarius,air,fixed,0.75,0.5,0.7,0.6,0.4,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Cancer,water,cardinal,0.6,0.55,0.45,0.7,0.7,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Scorpio,water,fixed,0.6,0.55,0.4,0.7,0.65,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
Pisces,water,mutable,0.65,0.45,0.4,0.75,0.75,symbolic_convention,NO scientific basis; astrology shows no validated correlation with personality. Values are astrological-tradition conventions for product UX only.
