mbti_type,openness,conscientiousness,extraversion,agreeableness,neuroticism,basis,evidence
ENFJ,0.8,0.8,0.8,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ENFP,0.8,0.2,0.8,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ENTJ,0.8,0.8,0.8,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ENTP,0.8,0.2,0.8,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ESFJ,0.2,0.8,0.8,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ESFP,0.2,0.2,0.8,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ESTJ,0.2,0.8,0.8,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ESTP,0.2,0.2,0.8,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
INFJ,0.8,0.8,0.2,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
INFP,0.8,0.2,0.2,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
INTJ,0.8,0.8,0.2,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
INTP,0.8,0.2,0.2,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ISFJ,0.2,0.8,0.2,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ISFP,0.2,0.2,0.2,0.8,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ISTJ,0.2,0.8,0.2,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
ISTP,0.2,0.2,0.2,0.2,0.5,empirical_correlation,"MBTI-Big5 dimensional correlations (E/I~E, N/S~O, F/T~A, J/P~C); neuroticism not measured by MBTI -> neutral 0.5"
